姓名,组织
郭雪婷,财务部
李楠,研发部
杨欣钰,北京分公司
官淑雪,广州分公司
秦先启,供应链部
贺韵萍,财务部
燕有星,实施部
戴英,实施部
芦玟新,实施部
陆玉英,深圳分公司
石霞,人力资源部
张腾星,市场部
涂燕,拓展部
邹冰秀,销售营运部
刘丹晓,办公室
董慧秀,法律事务部
东方佳竹,法律事务部
侯静冰,培训部
邵良晨,广州分公司
白勇,信息技术部
阮婕瑜,实施部
苗风,销售营运部
范秀丹,实施部
陈彤羽,法律事务部
彭彬,实施部
陈腾翔,产品部
冼楠,客服部
苗娥,北京分公司
刘风士,财务部
郭瑜笑,供应链部
曲红英,实施部
杨芝芝,研发部
褚雯蓓,客服部
杨友,实施部
韩风盛,市场部
